msno,city,bd,gender,registered_via,registration_init_time
vcXU+0HJiJPRmQaBYUrmCmj64rIluNGYy5uGYK5jtmw=,4,21,male,9,20070309
Xj46RMUpTjv8IQq5TdDoifHw4WwHbXCnDc1QqL0KFlo=,4,29,male,9,20140403
sH1QH54J0ytNyLo4AITcozT9RBORbk0fpVjgLNmLZiI=,4,23,male,3,20141210
9eoVMtsXwWvmDtvBHzLTV5gegf59sdeuTvdbhnl77nk=,1,0,,13,20161227
FytYRDc6RPMESLcVIea5WNCZ6qi9axDsSthI42w6Gd0=,1,0,,7,20170123
ksg+CifvuZVswPMSSl2JtDSrGGxS4sbo74+YEpuzgwo=,6,46,male,9,20161103
qAzWXSQY5vjDQVKyBMRA7rZgSytVu4g+BueF3/MTQvs=,4,22,male,9,20110416
Y6+gFL9eBPcVSNr2krzYOvoT52WIuTbXjKrZCzNPf50=,1,0,,7,20120211
tQV3UcCrUuanfvsiLMU2GlYvuxWEkNe1IABAtqXP2ng=,1,0,,7,20130927
2Db3vNrN5Ipqz4B2YveGM+dtlz1DpNrB0vktzNRljp8=,1,0,,7,20130509
N09J2cPblS0+zrzRXreB+UuuypJGHgRqwX90SIc6VFk=,1,0,,7,20130518
6gE3ZMSr394vxQ1wExVaYyyJ1WOFsXjZ+9V8F8smUwQ=,1,0,,7,20101115
YUq43jwQolU0y5x7lTjLmDftKzl3divPFLbkNnwhScg=,13,31,female,9,20121025
8auPHUjeoLxozfOaGw1C1al0elKgXXyi7tevrXUdYGU=,1,0,,7,20140605
m6TpEdePtUIc2bNBUY9n2+TREEJNu27QfqR7KIHo3NY=,12,48,female,9,20100902
LlGZ+4LQjdiUE6UX8J47ATShP4Ru9tgTgAfcVlThbH8=,1,0,,4,20161231
Hh89Oomcvxx0y/ejUnlslQFJntauuT2fOptIvqzpahA=,1,0,,9,20161229
QuiDO7/nLjdGK1JtBMiYRt/j0z4S4bm5Y/lgKNNMmyo=,1,0,,4,20170112
6qu058tBYoS2IqCYj0OJr7L6aI3lhtB+HiMMjK3HuSg=,1,0,,7,20170121
6VEiNKynD0JyEckg/FcTLMExYLEqtHh8pMug1eY5EPo=,6,30,female,7,20141104
KEqhAXjA0GuO2h5kXPuvoht67VNk49hdi6oG9R7J+i4=,22,28,female,9,20061106
PYPOkCuSfyWC2xLU8XQcVNCpZqK4Tfki01NxnnWoOic=,11,0,,9,20150115
LPvH9arnh/i4MadMgXuEUVkncIxz13GEd1qi+StCw0A=,1,0,,9,20150123
CiSbV2/cJRqENvgVIp4eMslbbMpVIfmSnxOCDix9Lb8=,22,0,,7,20120125
khaOFly0OZS9UlDoMD2L8jKkaDwGHO+Tf3dFlQayd1o=,11,33,male,9,20060523
p6/e/mSyJO+fFeUXmhnSG7nhjKseFyobgyCUXi170TI=,1,0,,7,20161105
FSSvrCMRiDFRzx1bQVPMolkkNaF4x9iW4oMKmrKj6G8=,1,0,,7,20140510
2/l4nKrBp9tUhOqP+3ZCuBBAInX0uPHC90A4aPidLAk=,22,18,female,4,20170109
QhQdQ0QPai82NjTPrvxN5s9nNV//S987KwUW5qTBpXI=,1,0,,7,20161203
zTCaGGcPhql6ne4g7J5qm11DQGN6KqvQCiNJjAmEuqw=,15,37,male,9,20060709
8o3fDTmVfpdZf79Yk0BQXWdtIGShw2n9czkEAzHSI6c=,15,28,male,9,20080205
EDvWEiZQ92muJMxJzQ3B7neUr4TgsMbdYF/Qrk7WoBo=,1,0,,7,20121221
UuOsknLtkhfETFJwAWWZRgBRLpgc5zwn9C4/Tt7X9aU=,1,0,,9,20150403
hSkb6sJz7Q6gXRc3ncuXBQK4KobSpmEch4FoPsctzjA=,15,30,female,7,20170126
qITinRNFqLkNAoNTTNKHnd+hBn0j8uyA+VTG6HelZNQ=,1,0,,7,20141207
QOUTLd2i2RVsQpeInQMsP2y06BlOQ55JtMv9xEnQ3LY=,1,0,,7,20170121
7+MCs/wOLYmuRb1CBmrhNrwgjA+JVmAXqMg14eOGyVY=,1,0,,7,20151020
RsDxUvHAybHycUskRrCt5ott8+JIKeuLSozvYocJTPs=,1,0,,7,20140515
sbrbyGK1qVjR99yakKjFDPnnz0omj3M5hHJHjE8Ak2s=,1,0,,7,20170102
71m5Lo7N5UylYapsTXUOy7kuk6UO2vo1Jo8BihpBDPk=,1,0,,9,20170110
4/q91Ce5aYNIxjIRjdG1owMCidt+lejO2VpLm5dWxOk=,1,0,,13,20161111
z98BSk+ckdebmoPuGj7tFbiADn/9b9FYHi+ugE97Mts=,1,0,,7,20161123
GvL+nguNT107SiPx+KnSRR9Cpg4rv0/Sryv88oLodzY=,13,27,female,9,20111103
bdCGDtdqyn8syTLHmX6pfqXYpMQ8HMo1bTQ5zvTuN9g=,4,25,female,3,20130103
UKQCdXjSLQ8t/iN4s+HE8ZWJAAjs9TQ5dALKmJUf9W8=,1,0,,7,20151106
nZ7DXJ0mD8r68wM5FEjZXUM38/aEiec4oOumKdbIFHE=,4,31,male,7,20120313
