msno,is_churn
dEPT6Ki6RIimMvKFy2B/iLhNalAIQVvVEznJwqcI5xg=,0
NZh6JkdKxv5+yzfxoJjDpqQqlxaWoLte6GoAUcD2RKs=,0
MQJh0JzTYfSzdsOH/ice1rsxouzE/dRDFeI4MhA3mqA=,0
TMBsL0a7IjM8dEC4Yg8lwbnZP52MJpiSLcvHNjesmSs=,0
QH6WsEFO0cDNqAgBzuFoKdPbpaq27+StO4I/6ATGfXc=,0
9J3faN+AH0fUY2kDHrwV8dEdIUkmZuKixllBdzT6gTg=,0
XCUhjAzsPwtBgWdDoTH52NpZJE/Y4EsPniXL56jzTJI=,0
Y71Am44Q8St5CYXeyXt4PqP9FbgXrXzrwSS4j9I5snM=,0
JPxDuXdalJqTVfzkAYQxg01k8HH30WUsrdoJO3/hJpM=,0
bV4xwvpN2UdeReGo1m9vsRfyuSGex6OtMU7ZjEtCkhM=,0
ZH7iUMv1tI3MN00z3SoJXOTo28dKLsysvkj+8Fa2OQk=,0
E38ZkPzFUIfkYs2kc1B9H3osOdn1TAlQNGdtp72KFpE=,0
szQzR229MKLzW6AyaEU8HnmvRKwtOe0jg/3B/f8w4OI=,0
YRprDxSeeMCSJM7iZKmrcFtKJIgmcPelm1aCKDNioZY=,0
Zs9GTIUycMSrSbbEijezLDp0XIIgg7L4KjHiENdBpTE=,0
VRMDf5g/oKhNLqFCOAuagCrK0RgCHPgLJQqbqr3Easg=,0
npD3PPeldLJ+gmBi13tl5qmKB9xRVRLRi+cB/RtHtxk=,0
Vxt03RkJIGboPWBLE/rEr0CWa+/Y3IwybhamIl+ObVg=,0
xwU1nRdPUMFIxZBenzcKxAsXviIf3Uop95W2N4J63a4=,0
50GDl8aUu+sE0w6OcbOF0DWydRgmAYjbY92qJ8tFabU=,0
docuh1YB4neGGx4fOZ4dOCIUJ6tJ0D/SUi34JJ8ysFk=,0
zlge4Ie5fVTEPuhy5/Ds5sgwqdtOBDnIYnq0koBBrwU=,0
nzgwZ6D3h8D6TMXT23mB3cHxFosdV/P4H7wQsaa4nuI=,0
gvERsv6Nod7B9c/XkzNC1iHclwKT6gpbzcKaiGCsSYA=,0
y3yo+KB8X1eVPdHKx/dT8hXM9zESL80Uo98mFzZ3ZxE=,0
Q0rRUDQIMmNuMZEseATrBmKsXsH36ncGPcU+eFOFyBc=,0
FzOqMSiKDvOORa6AhsWJknVPo/RMc2oBexdTHEAjeHI=,0
nJ4O+QLRasRFRaJEqSJRV9DSsbaZHFAaUlqC6lN44WM=,0
lUaQnKYDxy4h1KPeVLKHrL1xf9O1tdbUs7i/Q2d0Yts=,0
O17sB+i5Zm4WLzjwDqJRoxM8etpS5ksiZ36IDk7mT7g=,0
5/wrAyF5RLsqzyAkcev7wc9V69Ap2GNGKAyGXoDj3l0=,0
Tm5oSY4nby0xznxyGZV14JoXhVvDY1oo8FIxbBXdugs=,0
5T9N+bkwAvwNBI1zi9IECHqCiiPKZ2mI7va1RE0rlOM=,0
gplle3pm56tkyiInJJ5r280efb2GRQnU3dQL5Q6+alY=,0
tqrIzbtASTHzAo8xD7EJWlzj+ue1t4zJtjNyyCQOodg=,0
IvgVHtZ/+ReTdlYlzcXlbo0SV3kzoBk71vBHXHXqvws=,0
